NAME,USERNAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,CHANNEL
Pieter Peulen ,pieterpeulen,328300.0,2.33,Belgium,design fashion photography travel,98500.0,instagram
Asma Alayoubi | اسماء الايوبي ,asma.alayoubi,326200.0,0.26,Belgium,funny,97900.0,instagram
Muken’s Home. Organisation & more ,mukenshome,323600.0,1.25,Belgium,diy and life hacks home and garden food,97100.0,instagram
A V E L I N E S T O K A R T ,aveline_stokart,322300.0,4.05,Belgium,arts and crafts illustrator,96700.0,instagram
Bbs🍭💜 ,grace_bbs,321900.0,0.06,Belgium,fashion,96600.0,instagram
Tom Waes ,tomwaes,321000.0,2.09,Belgium,actors fashion lifestyle travel,96300.0,instagram
Joost Bouhof ,joostbouhof,315800.0,0.65,Belgium,games video gaming,94700.0,instagram
NWS ,nws.nws.nws,308300.0,9.1,Belgium,education,92500.0,instagram
,kapsalon.hakan,301700.0,10.3,Belgium,beauty and self care fashion and accessories styling hair salons,90500.0,instagram
Talisa Loup ,talisalo,298000.0,0.38,Belgium,family fashion and accessories lifestyle,89400.0,instagram
wissam 🌿 ,wissxo,295600.0,2.38,Belgium,parenting fashion lifestyle,88700.0,instagram
Malicia 🩷 ,maliciadorable,294500.0,2.2,Belgium,beauty and self care,88400.0,instagram
Loai Arafat ,loay_arafat,292700.0,1.33,Belgium,fashion and accessories gym modeling,87800.0,instagram
Rayane Huber 🦦🦊 ,rayane_hbr,292200.0,7.76,Belgium,entertainment and music celebrity,87700.0,instagram
Saleh Alsafoo ,salehalnagham,287600.0,2.91,Belgium,celebrity video blogger,86300.0,instagram
David Goffin ,david__goffin,282700.0,1.4,Belgium,fitness tennis,84800.0,instagram
🇨 🇪 🇷 🇪 🇳 ,_cerenim,280300.0,1.4,Belgium,fashion and accessories,84100.0,instagram
,mikomihokina,16100.0,3.18,Belgium,arts crafts,4800.0,threads
𝖊𝖕𝖙𝖎𝖈 ,eptic,14500.0,1.29,Belgium,entertainment music,4400.0,threads
Natasha Aris ,natashaaris,10100.0,0.85,Belgium,home garden food,3000.0,threads
Dr. Fakı Akın Obezite Cerrahı ,drfaki,7300.0,0.17,Belgium,health fitness,2200.0,threads
mxDVS ,mxdvs,5200.0,0.43,Belgium,fashion accessories,1500.0,threads
Kevin Desmadril ,ktechzone,3300.0,0.15,Belgium,technology photography product education,999.0,threads
Max Reynders ,max.reynders,3000.0,0.8,Belgium,arts crafts animation cosplay,900.0,threads
Emily Avenson ,fleuropean,2600.0,1.02,Belgium,nature arts crafts home garden,789.0,threads
PRINYCESS🌸 ,priny_holyne,2500.0,1.48,Belgium,fashion accessories arts crafts beauty self care photography,759.0,threads
Isabelle Angela Lazo ,isabellelazo,1900.0,0.24,Belgium,fitness health,564.0,threads
Julien Missaire ,julien.missaire,1700.0,1.55,Belgium,arts crafts animation cosplay,501.0,threads
Naked Wanderings | Nick & Lins ,n_wanderings,1300.0,0.91,Belgium,outdoor activity,384.0,threads
😤Brussels Griffons😤 ,grumpygriffons,1300.0,1.25,Belgium,pets,384.0,threads
Benjie De Schepper ,benjiedsch,1200.0,0.76,Belgium,travel outdoor activity photography,348.0,threads
Chuki Beats II ,UC4Oy0UtQpTBGX46q_OkWzXg,484000.0,0.2,Belgium,music,145200.0,youtube
Joe HaTab ,joe_hattab,490000.0,0.99,United Arab Emirates,animation cosplay entertainment music travel arts crafts,147000.0,threads
نور ستارز | Noor Stars ,noorstars,485100.0,0.55,United Arab Emirates,entertainment music beauty self care education,145500.0,threads
Asala ,asalamaleh,461600.0,0.51,United Arab Emirates,entertainment music,138500.0,threads
Rozzah ,rozzah,434000.0,0.98,United Arab Emirates,entertainment music,130200.0,threads
Azza Zarour | عزة زعرور ,azzazarour,397300.0,0.61,United Arab Emirates,entertainment music,119200.0,threads
Amro maskoun عمرو مسكون ,amrmaskoun,332700.0,0.54,United Arab Emirates,entertainment music,99800.0,threads
محمد طارق Mohammed Tarek ,mohammedtarek0,331800.0,0.26,United Arab Emirates,entertainment music funny,99600.0,threads
Afrae Es-satte | عفراء السطي ,afrae.es,321300.0,0.34,United Arab Emirates,entertainment music,96400.0,threads
رغـد | Raghad ,rragoode,317700.0,0.5,United Arab Emirates,beauty self care education entertainment music,95300.0,threads
Khalid Al Ameri ,khalidalameri,280800.0,0.61,United Arab Emirates,travel education upskilling,84200.0,threads
Ahlam Alshamsi ,ahlamalshamsi,248300.0,0.21,United Arab Emirates,arts crafts,74500.0,threads
Rawaa | رواء ,rawa2aljallad,229900.0,0.44,United Arab Emirates,entertainment music,69000.0,threads
LANA MOHD | لانا محمد ,lana_mohd89,229900.0,2.4,United Arab Emirates,entertainment music funny,69000.0,threads
Mounir ,mounir,229400.0,0.22,United Arab Emirates,beauty self care,68800.0,threads
Shahid ,shahid.vod,212700.0,0.18,United Arab Emirates,entertainment music,63800.0,threads
انس الشايب - ANAS ELSHAYIB ,anas_alshayb,199900.0,1.47,United Arab Emirates,fashion accessories education,60000.0,threads
Ahmed Hossam احمد حسام . ,ahmedhossam,194300.0,0.38,United Arab Emirates,acting drama entertainment music,58300.0,threads
Rawan & Rayan | روان و ريان ,rawanandrayan,189200.0,1.15,United Arab Emirates,entertainment music,56800.0,threads
REDA EL WAHABI • رضا الوهابي ,reda_elwahabii,184100.0,1.54,United Arab Emirates,travel education upskilling,55200.0,threads
MURAD OSMANN ,muradosmann,183000.0,0.11,United Arab Emirates,travel photography,54900.0,threads
Visit Dubai ,visit.dubai,180100.0,0.25,United Arab Emirates,travel,54000.0,threads
Hadeel Marei | هديل مرعي ,hadeelmarei,175100.0,0.73,United Arab Emirates,entertainment music funny upskilling,52500.0,threads
كريم ديب | Kareem Deeb ,kareemdeeb,158200.0,0.69,United Arab Emirates,auto and vehicles fashion accessories,47400.0,threads
Mona Kattan Elamin✌🏽🤎🧸📍 in Dubai ❤️🇦🇪🌴🌞 ,monakattan,137200.0,0.21,United Arab Emirates,beauty self care,41100.0,threads
Mohamed Alsalim - محمد السالم ,mohamedalsalim,131600.0,0.77,United Arab Emirates,entertainment music,39500.0,threads
Amro Alqudah | عمرو القضاه ,amroqudah,128700.0,0.84,United Arab Emirates,auto and vehicles,38600.0,threads
Zahra ben mime- زهراء بن ميم ,zahra_ben_mime,128000.0,0.99,United Arab Emirates,acting drama,38400.0,threads
Ziad AboShaar ,ziadaboshaar,126300.0,0.89,United Arab Emirates,entertainment music,37900.0,threads
Lovin Dubai | لوڤن دبي ,lovindubai,118900.0,0.23,United Arab Emirates,entertainment music travel,35700.0,threads
Sarah Malas ,sarahmalas,115100.0,0.61,United Arab Emirates,fashion accessories beauty self care travel,34500.0,threads
Ajmal Khan | AK ,ajmal_khan_,112300.0,1.03,United Arab Emirates,travel,33700.0,threads
Moneykicks - We Living Life ,rsbelhasa,110600.0,0.77,United Arab Emirates,entertainment music finance,33200.0,threads
MBC2 ,mbc2insta,109400.0,0.11,United Arab Emirates,entertainment music movies,32800.0,threads
برق الإمارات ,uae_barq,109400.0,0.06,United Arab Emirates,product showcase,32800.0,threads
Sherif Fayed شريف فايد ,sheriffayed,107600.0,0.87,United Arab Emirates,travel outdoor activity,32300.0,threads
Sofya Plotnikova ,sofyaplotnikova,107200.0,0.42,United Arab Emirates,entertainment music,32200.0,threads
مها جعفر | Maha Jaafar ,maha1aj,103200.0,0.61,United Arab Emirates,entertainment music funny,31000.0,threads
Saad Ur Rehman ,duckybhai,103000.0,2.49,United Arab Emirates,entertainment music,30900.0,threads
𝑪𝒂𝒓𝒐𝒍𝒊𝒏𝒆𝑴𝒂𝒓𝒍𝒊𝒏𝒊 ,carolinemarlini,95800.0,1.04,United Arab Emirates,beauty self care entertainment music,28700.0,threads
Zainab Al-Eqabi زينب العقابي ,zainab.aleqabi,94200.0,1.13,United Arab Emirates,fitness health education product showcase auto and vehicles,28200.0,threads
Nour Mar| نور مار ,5nourrmar,93400.0,1.95,United Arab Emirates,travel,28000.0,threads
Ali & Walaa ,thehennaouifamily,92200.0,0.62,United Arab Emirates,family,27700.0,threads
Trevor James ,thefoodranger,91000.0,0.26,United Arab Emirates,food travel,27300.0,threads
Logina Salah ,loginasalah,88400.0,0.15,United Arab Emirates,fashion accessories entertainment music education,26500.0,threads
FARHANA ,farhanabodi,87400.0,0.09,United Arab Emirates,fashion accessories,26200.0,threads
Ayman Al Yaman ,ayman_yaman,86400.0,0.17,United Arab Emirates,entertainment music,25900.0,threads
KATY ESQUIVEL ,whatthechic,85600.0,0.62,United Arab Emirates,travel fashion accessories beauty self care,25700.0,threads
The Datis 🌸 رند دالاتي • Dubai Influencer ,randdalati,84800.0,0.69,United Arab Emirates,beauty self care fashion accessories lifestyle,25400.0,threads
Shahd Naser | شهد نـاصر ,shahdzn,84500.0,0.45,United Arab Emirates,beauty self care product showcase,25400.0,threads
شبكة ابوظبي || أخبار الامارات ,net_ad,82400.0,0.12,United Arab Emirates,entertainment music,24700.0,threads
Deema Al Asadi ديما الأسدي ,deemaalasadi,78700.0,0.97,United Arab Emirates,entertainment music,23600.0,threads
Adel Alaa | عادل علاء ,adeelalaa_,77000.0,0.16,United Arab Emirates,travel,23100.0,threads
MONICA ,monicasedki,77000.0,0.01,United Arab Emirates,travel,23100.0,threads
Khaleej Times ,khaleejtimes,76200.0,0.12,United Arab Emirates,news media,22900.0,threads
Omardizer | عمرديزر ,omardizer,75400.0,0.47,United Arab Emirates,education upskilling entertainment music games,22600.0,threads
Melina Taj ,melinataj,73000.0,1.38,United Arab Emirates,arts crafts,21900.0,threads
DJ BLISS ,djblissdubai,73000.0,0.03,United Arab Emirates,entertainment music,21900.0,threads
Mariam George مريم جورج ,mimogeorge,71700.0,0.37,United Arab Emirates,entertainment music,21500.0,threads
Areej Nashashibi ,areejnashashibi,69200.0,0.94,United Arab Emirates,fashion accessories,20800.0,threads
Aimée SAYAH إيميه الصيّاح ,aimeesayah,68600.0,0.14,United Arab Emirates,acting drama travel,20600.0,threads
Dima Mousseli🧚 ديما موصللي ,dimamousseli,67900.0,0.97,United Arab Emirates,funny entertainment music,20400.0,threads
Afnanrecipes 💕 ,afnanrecipes,67400.0,0.22,United Arab Emirates,food product education,20200.0,threads
نائل ابو التين ,nael_abu_alteen,66300.0,0.12,United Arab Emirates,business,19900.0,threads
Luca Gallone ,lucaggallone,65500.0,0.04,United Arab Emirates,entertainment music,19600.0,threads
ميس عنبر - Mays Anber ,maysanber,63600.0,0.41,United Arab Emirates,entertainment music education health wellness,19100.0,threads
Kris Fade ,krisfade,63000.0,0.53,United Arab Emirates,entertainment music fitness health product showcase auto and vehicles,18900.0,threads
Dr.Ahmad Jarbou د.أحمد جربوع ,drahmadjarbou,62900.0,0.78,United Arab Emirates,education entertainment music,18900.0,threads
"Atlantis The Palm, Dubai ",atlantisthepalm,61100.0,0.32,United Arab Emirates,travel,18300.0,threads
Meera Stars ,meerastars,60900.0,0.64,United Arab Emirates,entertainment music,18300.0,threads
Basel Gazioglu ,baselaughs,60300.0,0.34,United Arab Emirates,funny entertainment music,18100.0,threads
Shero Amara ,sheroamara,60000.0,0.97,United Arab Emirates,travel,18000.0,threads
Lama alrahwanji ,lamaalrahwanji,59700.0,0.8,United Arab Emirates,fashion accessories,17900.0,threads
LJ Loujain Adada ,loujainaj,59600.0,0.53,United Arab Emirates,fashion accessories,17900.0,threads
Rental Cars UAE 🇦🇪 ,online.cars,59000.0,0.01,United Arab Emirates,auto and vehicles,17700.0,threads
Ahmad Blaibleh أحمد بليبلة ,ahmadblaibleh,57700.0,1.36,United Arab Emirates,photography,17300.0,threads
AVITAL COHEN ,avital,56400.0,0.26,United Arab Emirates,finance,16900.0,threads
Rami Nasri ,bmw.uae,55500.0,0.72,United Arab Emirates,auto and vehicles product education,16600.0,threads
Wael Abualteen|وائل ابو التين ,waelalteen,52400.0,0.21,United Arab Emirates,arts crafts entertainment music outdoor activity photography,15700.0,threads
Ramy ,ramyhamdan,52200.0,1.61,United Arab Emirates,entertainment music funny,15700.0,threads
Sam Chui ,samchui,51000.0,0.14,United Arab Emirates,travel,15300.0,threads
Lamis Kan ,lamis.kan,50300.0,0.43,United Arab Emirates,arts crafts education,15100.0,threads
Mousa Esmaeilpour ,mousaesmaeilpour,50100.0,1.51,United Arab Emirates,fitness health sports,15000.0,threads
Remie Salloum ريمي سلوم ,remiesalloum,49800.0,0.27,United Arab Emirates,fashion accessories family,14900.0,threads
Fahad Sal ,mrfahadsal,48600.0,1.66,United Arab Emirates,entertainment music,14600.0,threads
Reema ,imreema_badr,48500.0,2.02,United Arab Emirates,fashion accessories entertainment music,14500.0,threads
راشد المنصوري ,r49,48400.0,0.01,United Arab Emirates,product education education,14500.0,threads
Jalila جليلة ,jalila_official,48100.0,0.37,United Arab Emirates,fashion accessories,14400.0,threads
آية فتوح ,eyaofficial__,47400.0,0.91,United Arab Emirates,fashion accessories beauty self care,14200.0,threads
Suhaib Shashaa / صهيب شعشاعة ,suhaibshashaa,45800.0,0.52,United Arab Emirates,auto and vehicles,13800.0,threads
Taim AlFalasi تيم الفلاسي | 🇦🇪 ,taimalfalasi,45700.0,0.37,United Arab Emirates,travel food,13700.0,threads
Zeena Zaki ,zeenazaki,45500.0,0.09,United Arab Emirates,business,13600.0,threads
Scarlett Rose | Dubai 🇦🇪✈️ Goa 🌴🇮🇳 ,scarlettmrose,44900.0,0.34,United Arab Emirates,travel content creation modeling acting,13500.0,threads
Amr Maskoun | عمرو مسكون ,UCRBWpRD5w7jN4Oq7MUyDYxg,4300000.0,0.7,United Arab Emirates,celebrity,1300000.0,youtube
Mazaj - مزاج ,mazajofficial,2500000.0,0.1,United Arab Emirates,beauty celebrity,744000.0,youtube
محمد حراجلي ,mohammad.harajli,918700.0,0.2,United Arab Emirates,health and medical services,275600.0,tiktok
Guddu & Papa ,guddu_and_papa,846900.0,0.1,United Arab Emirates,entertainment and music family,254100.0,tiktok
LUJAIN “‫لجين الظفيري‬‎” GLAM ,UCRp8zrqzLgiBdbuXP6XvDYw,1300000.0,0.2,Kuwait,beauty,384000.0,youtube
راشد فيلم RASHED FILM I ,UCqZG6vsDSdlFSRwCTkwcqxg,1100000.0,0.7,Kuwait,celebrity,333000.0,youtube
المعتصم بالله مقداد | عصومي ,motasmmekdad,256800.0,1.7,Kuwait,entertainment music,77000.0,threads
الوليد مقداد | Waleed Miqdad ,waleedmiqdad,192700.0,1.63,Kuwait,arts crafts entertainment music,57800.0,threads
Ali Najem | علي نجم ,alinajim,176700.0,0.21,Kuwait,education upskilling,53000.0,threads
طلال سام ,talal_sam,101200.0,1.95,Kuwait,entertainment music,30300.0,threads
د. محمد نبيل الصفي ,dr_abdoty,63100.0,0.16,Kuwait,education health fitness,18900.0,threads
Fatma Alsafi ,me_alsafi,56400.0,0.16,Kuwait,travel family,16900.0,threads
Boutiqaat بوتيكات ,boutiqaat,53100.0,0.09,Kuwait,beauty self care fashion accessories,15900.0,threads
كويلي ,kwtil,51900.0,2.05,Kuwait,entertainment music,15600.0,threads
KRAVE ,kravekw,49200.0,0.12,Kuwait,food,14800.0,threads
Aziz Bader - عزيز بدر ,aziz,45800.0,0.47,Kuwait,auto and vehicles,13700.0,threads
Salem Alhajri 🇰🇼 سالم الهاجري ,beingsalem,43300.0,0.48,Kuwait,product showcase auto and vehicles,13000.0,threads
Xcite ,xcitealghanim,41100.0,0.15,Kuwait,auto and vehicles,12300.0,threads
Hend Alblooshi - هند البلوشي ,hind_albloushii,41000.0,0.18,Kuwait,arts crafts,12300.0,threads
مشعل حمد ,yamsh3l,38600.0,0.22,Kuwait,education,11600.0,threads
راكان الشايع ,rrakans,35000.0,1.71,Kuwait,entertainment music,10500.0,threads
Abdullah Alshayji | عبدالله الشايجي ,shaijieee,34200.0,0.67,Kuwait,fashion accessories beauty self care,10300.0,threads
National Bank of Kuwait ,nbkgroup,33300.0,1.2,Kuwait,finance,10000.0,threads
🇰🇼 تسويق | عائشة Marketing | Reels Queen 👑 ,aishasaad94,32900.0,0.48,Kuwait,education product education,9900.0,threads
وزارة الصحة - الكويت ,kuwait_moh,32100.0,0.13,Kuwait,health,9600.0,threads
Touché ,toucheofficial,30500.0,0.09,Kuwait,fashion accessories,9200.0,threads
مرزوق علي الغانم ,marzouqalialghanim,30000.0,0.85,Kuwait,politics,9000.0,threads
Lulwa Almulla- لولوة الملا ,lulu_almulla1,29800.0,0.24,Kuwait,entertainment music acting drama,8900.0,threads
فهد بن سالم الكندري ,fahdalkandri,29400.0,1.26,Kuwait,education,8800.0,threads
Dana Al Tuwarish ᴰᵀ ,daneeda_t,27400.0,0.51,Kuwait,fashion accessories,8200.0,threads
,aldanahbeauty,27100.0,0.22,Kuwait,fashion accessories,8100.0,threads
Kuwait Finance House ,kfhgroup,26900.0,0.6,Kuwait,finance,8100.0,threads
الحقيقة ,alhakea,26700.0,0.01,Kuwait,news politics,8000.0,threads
بنك بوبيان ,bankboubyan,26400.0,1.01,Kuwait,finance,7900.0,threads
Fahed AlYehya ,thedietninja,25600.0,0.02,Kuwait,fitness health,7700.0,threads
افنانيتو - أفنان أباالخيل🇰🇼 ,afnanetoo,25000.0,0.05,Kuwait,product education product showcase,7500.0,threads
The Avenues ,the_avenues,24800.0,0.21,Kuwait,fashion accessories,7400.0,threads
🇰🇼 كادي روزا ,cadirosa,24000.0,0.23,Kuwait,fitness health photography,7200.0,threads
AlziadiQ8 | الزيادي ,alziadiq8,22800.0,0.03,Kuwait,education entertainment music life society,6800.0,threads
Cinescape | سينسكيب ,cinescapekuwait,22100.0,0.05,Kuwait,entertainment music film,6600.0,threads
Fajer Alsaeed 🇰🇼 ,alsaeedfajer,21900.0,0.14,Kuwait,arts crafts,6600.0,threads
stc Kuwait ,stc_kwt,21500.0,0.88,Kuwait,product education,6400.0,threads
Dr Mohammed Alkandari د. محمد الكندري ,dr_m_alkandari,21400.0,0.52,Kuwait,animals arts crafts education entertainment music,6400.0,threads
كويت نيوز ,kuwaitnews,20700.0,0.03,Kuwait,news politics,6200.0,threads
عبدالرحمن القديري ,dev7e,20400.0,0.22,Kuwait,diy life hacks product education,6100.0,threads
مجموعة الراي الإعلامية ,alraimediagroup,20300.0,0.04,Kuwait,news media,6100.0,threads
OXYGEN GYMS | اوكسجين جيم ,o2_gyms,19700.0,0.17,Kuwait,fitness health,5900.0,threads
💯 Mansour Al Hajeri | منصور ال زايد ,m.h4jri,19600.0,10.48,Kuwait,product education,5900.0,threads
منذر المزكي الشامسي ,m_almuzaki,18900.0,0.09,Kuwait,entertainment music,5700.0,threads
emarketkw.com - اي ماركت ,emarketkw,18700.0,0.03,Kuwait,product showcase,5600.0,threads
الجريدة ,aljarida,17400.0,0.07,Kuwait,news politics,5200.0,threads
BASEL KHAJAH باسل خاجة ,gvoice.dub,16900.0,0.09,Kuwait,music animation cosplay,5100.0,threads
Ghadeer Sultan - غدير سلطان ,ghdor.sultan,16300.0,0.09,Kuwait,beauty self care education product education product showcase,4900.0,threads
Sondos Alqattan سندس القطان ,sondos_aq,16200.0,0.12,Kuwait,beauty self care,4900.0,threads
خبر عاجل كويتي (صحيفة الراية) ,3ajeel_q8,16000.0,0.05,Kuwait,news media,4800.0,threads
عبدالله مجبل المطوع ,dr_abdullah_almutawa,15900.0,0.32,Kuwait,fitness health,4800.0,threads
® شركة عصير تايم ,39ertime,15700.0,0.08,Kuwait,entertainment music,4700.0,threads
Kuwait Airways ,kuwaitairways,14300.0,0.12,Kuwait,auto ja ajoneuvot,4300.0,threads
Jamal د.محمد جمال ,drjamal1,13600.0,0.17,Kuwait,terveys koulutus,4100.0,threads
Abdulwahab Aloataibi ,wahabfreestyler,13500.0,0.05,Kuwait,urheilu,4000.0,threads
للسيارات الكلاسيكيه والنادره ,q8nitro,13400.0,0.36,Kuwait,auto ja ajoneuvot,4000.0,threads
Alfuhod الفهود ,alfuhod,12900.0,0.06,Kuwait,fashion accessories,3900.0,threads
Blink Kuwait ,blinkcomkw,12600.0,0.03,Kuwait,entertainment music pelit tuotenäyttely auto ja ajoneuvot,3800.0,threads
Omar Al-Sayed Omar Al-Asem ,omaralsayedomar,12500.0,0.17,Kuwait,valokuvaus,3700.0,threads
Majda Al Sabah ,majdajs,12200.0,0.32,Kuwait,fashion accessories,3600.0,threads
نــواف - NAWAF ,nawaf_al3nze,12000.0,0.19,Kuwait,entertainment music,3600.0,threads
عبدالمحسن حسين عبدالمحسن النصار ,mohsinh__,11700.0,1.16,Kuwait,ruoka,3500.0,threads
AAB World ,aabworld,11200.0,0.08,Kuwait,tuotenäyttely,3400.0,threads
FUAD ALI فؤاد علي ,fuad_3ali,11100.0,0.31,Kuwait,entertainment music,3300.0,threads
Warba Bank بنك وربة ,warba_bank,11100.0,0.09,Kuwait,rahoitus,3300.0,threads
هاجر مصطفى(نبتة🌱) ,hagar_mostafa8,11100.0,0.11,Kuwait,koulutus taitojen kehittäminen fitness health,3300.0,threads
Abdulaziz alsorayai ,alsry3,11000.0,1.45,Kuwait,valokuvaus,3300.0,threads
مكافحة الجرائم الإلكترونية ,ecccd,10900.0,0.04,Kuwait,law enforcement,3300.0,threads
د عادل قطينه Dr Adel Quttainah ,dr.adel.quttainah,10700.0,0.13,Kuwait,koulutus tuotekoulutus rahoitus,3200.0,threads
Baraa Owayed | براء العويد ,baraaowayed,10700.0,0.8,Kuwait,entertainment music,3200.0,threads
CHARBEL ZOE شربل زوي ,charbelzoecouture,10600.0,0.07,Kuwait,fashion accessories,3200.0,threads
Dana ام زيد 🇰🇼 ,thecraftymom,10600.0,0.17,Kuwait,arts crafts diy life hacks kasvatus,3200.0,threads
Marina FM 90.4 | مارينا اف ام ,marinafm,10400.0,0.04,Kuwait,entertainment music,3100.0,threads
شادن 🔥 ,chadanofficial_,10000.0,0.3,Kuwait,fashion accessories,3000.0,threads
Dana AlNesef دانه النصف 🇰🇼 ,itsdandash,9700.0,0.21,Kuwait,auto ja ajoneuvot ruoka matkailu,2900.0,threads
Matbakhi by Sawsan Da’ana ,sawsansmatbakhi,9700.0,0.11,Kuwait,ruoka,2900.0,threads
عُمر العثمانْ ,omaralothman,9600.0,0.34,Kuwait,koulutus,2900.0,threads
جمعية العون المباشر ,directaidorg,9500.0,0.29,Kuwait,koulutus,2900.0,threads
Yoza Alawadh ,onlycake,8800.0,0.16,Kuwait,ruoka,2700.0,threads
دكتورة خلود💙💉🥇 ,dr_kholodiii,8700.0,0.99,Kuwait,beauty self care,2600.0,threads
د.عبدالله المليفي-Dr.Almulaifi ,dralmulaifi,8700.0,0.1,Kuwait,fitness health,2600.0,threads
احمد ايراج ,ahmad_iraj,8600.0,0.21,Kuwait,arts crafts fashion accessories,2600.0,threads
أخصائية التغذية ملاك فواز ,dietitian_malak,8600.0,0.16,Kuwait,fitness health,2600.0,threads
يوسف المحمد | Yousef ,yousef_almohmed,1100000.0,0.1,Kuwait,fitness celebrity,330000.0,tiktok
Orkid 🌷 ,orkid.ali,611000.0,0.1,Kuwait,arts and crafts,183300.0,tiktok
Abdulla Alhasawi ,aalhasawi,456200.0,0.4,Kuwait,finance,136900.0,tiktok
عبدالله الطليحي ,abdullahaltulaihi,398700.0,0.3,Kuwait,acting and drama sports,119600.0,tiktok
Nadia_cooks ,nadia.cooks,354500.0,0.2,Kuwait,food,106400.0,tiktok
Ali Alsaleh ,aliisalleh,252700.0,0.2,Kuwait,food,75800.0,tiktok
B.brown ,a.browngirl,249500.0,0.6,Kuwait,beauty and self care video gaming,74900.0,tiktok
Mishary Alafasy 🇰🇼 مشاري راشد العفاسي ,alafasy,8500000.0,0.12,Kuwait,entertainment and music speaker,2500000.0,instagram
عقيل الرئيسي 👑 ,aqeelstar,8400000.0,1.11,Kuwait,entertainment and music celebrity,2500000.0,instagram
Rawan Bin Hussain ,rawan,7600000.0,0.58,Kuwait,acting and drama entertainment and music celebrity business and finance,2300000.0,instagram
Elham Alfadalah إلهام الفضالة ,elhamalfadalah,7000000.0,0.08,Kuwait,fashion and accessories celebrity modeling,2100000.0,instagram
Hanadi alkanderi🌍🇰🇼 ,hanaaady,5900000.0,0.13,Kuwait,family modeling actors,1800000.0,instagram
Shejoun شجون 🇰🇼 ,shoooj,4600000.0,0.22,Kuwait,celebrity actors,1400000.0,instagram
Haya Alshuaibi | هيا الشعيبي ,hayaalshuaibi_79,4000000.0,0.04,Kuwait,entertainment and music actors,1200000.0,instagram
نوف نبيل | Nouf Nabil ,noufnabil_,4000000.0,0.21,Kuwait,entertainment and music celebrity,1200000.0,instagram
مَـــرمَـــر ,mrmr__4,3900000.0,2.94,Kuwait,fashion and accessories fashion design modeling,1200000.0,instagram
😈 مشاهير FUN 😈 ,mashaheerfun,3700000.0,0.26,Kuwait,entertainment and music,1100000.0,instagram
Halima Boland حليمه بولند ,halima.bouland,3700000.0,0.92,Kuwait,entertainment and music journalists,1100000.0,instagram
Dalal AlDoub 🕊 ,dalalid,3200000.0,0.45,Kuwait,fashion and accessories beauty and self care,957300.0,instagram
فرح الصراف farah alsarraf ,fara7_al_,3200000.0,0.25,Kuwait,celebrity lifestyle film music books celebrities,954300.0,instagram
Haleemah alrasheedi ,joooore66,2800000.0,0.15,Kuwait,fashion and accessories modeling,843400.0,instagram
🇰🇼📍🇯🇴اللورد ,amen_90,2700000.0,0.85,Kuwait,fashion and accessories lifestyle,807900.0,instagram
Dany Neville ,danyneville,2600000.0,3.87,Kuwait,entertainment and music music dj entertainment,788100.0,instagram
Ascia • آسيا ,ascia,2500000.0,0.23,Kuwait,fashion and accessories styling hair beauty design,749500.0,instagram
Jassim Rajab ,leh_meta,2300000.0,2.43,Kuwait,entertainment and music celebrity actors comedy,693600.0,instagram
Fatima Almomen ,falmomen,2300000.0,0.35,Kuwait,finance business and finance moms lifestyle,688400.0,instagram
عبدالله بوشهري ,3bood_boushehri,2200000.0,0.68,Kuwait,acting and drama celebrity,666900.0,instagram
AHMAD ALNUFAIS | أحمد النفيس ,ahmad_alnufais,2100000.0,1.13,Kuwait,photography iphone travel,624700.0,instagram
عيسى | E S S A ,essa_almarzoug,2000000.0,1.1,Kuwait,art singer film music books,596600.0,instagram
Fouz Alshatti فوز الشطي🇰🇼 ,fouz_alshatti,2000000.0,0.39,Kuwait,acting and drama celebrity,587000.0,instagram
ليالي دهراب ,layalidehrab,1900000.0,1.15,Kuwait,fashion and accessories,580700.0,instagram
Romance Collection ,romance_collection,1900000.0,0.06,Kuwait,fashion and accessories romance and wedding,575400.0,instagram
عايده حسان/aidahassan ,aida_hassan,1800000.0,0.17,Kuwait,fashion and accessories,553100.0,instagram
Shaima Ali - شيماء علي ,shaima_3li81,1800000.0,0.89,Kuwait,acting and drama celebrity modeling,536800.0,instagram
Lamya Tareq - لمياء طارق ,lamya.tareq.official,1700000.0,0.04,Kuwait,acting and drama celebrity,509100.0,instagram
حسابات المصممين ,joooore666,1700000.0,0.18,Kuwait,fashion gym modeling,498200.0,instagram
Hanan Alnajadah_ حنان النجادة ,hananalnajadah,1600000.0,0.14,Kuwait,beauty and self care hair beauty,491100.0,instagram
Nadia_cooks ,nadia_cooks,1600000.0,0.4,Kuwait,food,487100.0,instagram
شاب كويتي☺ ,jabhhaa,1600000.0,0.2,Kuwait,beauty and self care,472500.0,instagram
Yoyo 🌟 ,yousef_almohmed,1600000.0,0.13,Kuwait,entertainment and music fitness and health celebrity modeling,469300.0,instagram
Zahra Arafat ,zahraarafatt,1500000.0,0.02,Kuwait,celebrity acting and drama entertainment and music actors,456100.0,instagram
المهرة البحرينية ,almahra91,1500000.0,0.05,Kuwait,business and finance modeling hair beauty celebrities,452500.0,instagram
محمد جارالله السهلي ,m_jarallah,1400000.0,0.2,Kuwait,celebrity nature outdoors architecture,425600.0,instagram
